current_price,no_of_reviews,original_price,product_brand,product_id,product_name,rating
3.73,0,5.95,Sea to Summit,240791,Camp Cutlery 3-Piece Set,0.0
260.93,64,374.0,REI Co-op,202274,Skyward 4 Tent,3.9
49.99,260,79.95,JBL,227754,Clip 4 Eco Speaker,4.3
32.73,78,59.95,Black Diamond,231798,Onsight 375 Headlamp,4.3
44.93,518,60.0,Cotopaxi,206688,Luzon 18 L Pack - Del Dia,4.7
149.73,23,279.0,Zempire,205323,2-Burner Deluxe & Grill High-Pressure Camping Stove,4.5
112.73,28,284.99,Mountain Summit Gear,171982,Northwood Series II 4-Person Backpacking Tent,3.6
122.73,2,249.95,Granite Gear,234177,Perimeter 50 Pack - Women's,5.0
21.73,0,29.95,Black Diamond,241208,Cosmo 300 Headlamp,0.0
34.73,13,49.99,MPOWERD,234022,Luci Pro Series Inflatable Solar Lantern,4.5
64.73,3,119.95,Mountainsmith,174080,Antero +35 Sleeping Bag,3.7
64.73,11,149.99,Alpine Mountain Gear,189281,Weekender Tent 4,4.0
29.73,16,40.0,Gerber,237941,Armbar Slim Drive Multi-Tool,4.1
155.73,7,279.95,Big Agnes,232446,"Hinman Self-Inflating Sleeping Pad - 78 x 50 x 4""",4.4
44.93,31,89.95,REI Co-op,221661,Wallace Lake Sherpa Fleece Blanket,4.9
14.73,2,19.95,Black Diamond,241207,Astro 250 Headlamp,1.5
41.73,2,59.95,Sea to Summit,230606,Ultra-Sil Dry Sack - Set of 3,4.0
26.73,33,60.0,Mountain Summit Gear,141510,4-Person Enamel Tableware Set,2.9
44.73,9,119.99,ALPS Mountaineering,184998,Dash Chair,2.7
14.93,149,19.95,TheTentLab,131611,The Deuce 2 UL Backcountry Trowel,4.5
73.83,53,149.0,REI Co-op,193121,Trailgate Vehicle Shelter,3.7
359.73,7,480.0,Mountain Hardwear,233693,Phantom 30 Sleeping Bag,4.4
26.73,38,,Outdoor Research,239653,Dirty/Clean Bag,4.9
12.73,4,19.99,MPOWERD,147499,Luci Candle Lantern,3.8
81.93,30,109.95,GSI Outdoors,830775,Pinnacle Backpacker Cookset,4.5
,40,,PackTowl,221819,Personal Towel,4.2
27.93,163,39.95,REI Co-op,226763,Flash 18 Pack - Latino Outdoors Edition,4.4
107.93,404,145.0,Rumpl,204962,Original Puffy Blanket - Artist Division,4.7
21.93,20,29.95,Sea to Summit,897683,Delta Camp Set,4.9
141.93,29,190.0,Arc'teryx,216648,Aerios 30 Pack - Women's,4.3
148.73,7,249.95,Big Agnes,232450,Big Six Armchair,3.6
139.99,513,179.95,JBL,198733,Charge 5 Portable Speaker,4.3
154.73,20,349.99,ALPS Mountaineering,184981,Camp Creek 6 Tent,3.5
25.73,8,34.95,Hydro Flask,232897,Coffee Cup with Flex Sip Lid - 20 fl. oz.,4.5
159.99,12,189.95,Nikon,215314,Prostaff P7 8 x 42 Binoculars,4.8
149.99,5,179.95,Nikon,215316,Prostaff P7 8 x 30 Binoculars,4.6
193.73,1,299.95,NEMO,233422,Switch 2P Tent,5.0
199.99,71,300.0,Garmin,211697,Instinct 2S,4.0
549.99,44,650.0,Garmin,216797,Descent G1 Solar,4.1
439.99,22,489.95,Nikon,205176,Monarch M7 8 x 42 Binoculars,4.8
349.99,92,450.0,Garmin,211704,Instinct 2 Solar GPS Watch - Tactical Edition,4.3
169.99,12,199.95,Nikon,215313,Prostaff P7 10 x 42 Binoculars,4.7
191.99,65,240.0,Benchmade,125229,940-1702 Osborne G10 EX Knife,4.4
449.99,15,499.95,Nikon,205175,Monarch M7 10 x 42 Binocular,4.9
